COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 11/09/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTEMBER DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN   : 13123 
 NOMBRE     : PRESA EL DURAZNO 
 ESTADO     : HIDALGO 
 MUNICIPIO  : SAN AGUSTÍN TLAXIACA 
 SITUACIÓN  : SUSPENDIDA 
 U. ADMNVA. : ORGANISMO DE CUENCA AGUAS DEL VALLE DE MÉXICO 
 CVE-OMM    :   
 LATITUD    : 20.13333333 ° 
 LONGITUD   : -98.85916667 ° 
 ALTITUD    : 2400 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1980-04-01	0	7.1	26	5
1980-04-02	0	9.5	28	6
1980-04-03	NULO	NULO	NULO	NULO
1980-04-07	0	7.9	26	5
1980-04-08	0	9.4	27	7
1980-04-09	0	7.4	25	2
1980-04-10	NULO	NULO	NULO	NULO
1980-04-14	0	5.1	21	8
1980-04-15	0	3.8	20	8
1980-04-16	2.8	4.1	22	10
1980-04-17	NULO	NULO	NULO	NULO
1980-04-21	1	3.8	25	10
1980-04-22	0	6.5	26	10
1980-04-23	0	8	26	11
1980-04-24	NULO	NULO	NULO	NULO
1980-04-28	12.8	9.9	28	11
1980-04-29	0.2	5.3	27	12
1980-04-30	5.7	4.4	24	11
1980-05-07	3	NULO	24	10
1980-05-08	0.8	NULO	26	7.5
1980-05-09	NULO	NULO	NULO	NULO
1980-05-13	0	5.7	27	11
1980-05-14	15.8	10.1	27	11
1980-05-15	0	7.5	27	13
1980-05-16	NULO	NULO	NULO	NULO
1980-05-20	0	6.1	26	11.5
1980-05-21	0	6.9	27	10
1980-05-22	0	7.1	26	10
1980-05-23	NULO	NULO	NULO	NULO
1980-05-27	0	6.2	24	13
1980-05-28	0	7.9	25	10
1980-05-29	0	6.4	26.5	8
1980-05-30	NULO	NULO	NULO	NULO
1980-06-03	0	8.3	25	9
1980-06-04	0	6.6	24	8
1980-06-05	0.5	4.8	25	9
1980-06-06	0	NULO	NULO	NULO
1980-06-10	0	8.5	24	12
1980-06-11	0	8.9	25	12
1980-06-12	0	8.2	24	11.5
1980-06-13	0	NULO	NULO	NULO
1980-06-17	0	6.4	26	10
1980-06-18	2.4	7.5	25	8
1980-06-19	0	5.3	22	13
1980-06-20	0	NULO	NULO	NULO
1980-06-24	0	9.7	25	8
1980-06-25	5	2.5	23	11
1980-06-26	0	9.3	23	11
1980-06-27	0	NULO	NULO	NULO
1980-07-01	0	7.6	24	8
1980-07-02	0	8.9	22	10
1980-07-03	0	8.1	23	5
1980-07-04	NULO	NULO	NULO	NULO
1980-07-08	0	5.1	22	9
1980-07-09	0	7.1	24	9
1980-07-10	0	3.4	25	7
1980-07-11	NULO	NULO	NULO	NULO
1980-07-15	0	9.5	25	7
1980-07-16	0	6.8	26	6
1980-07-17	0	7.1	25	7
1980-07-18	NULO	NULO	NULO	NULO
1980-07-22	0	6.1	23	7
1980-07-23	0	6.1	22	7
1980-07-24	0.6	5.4	23	8
1980-07-25	NULO	NULO	NULO	NULO
1980-07-29	1.5	6.8	22	7
1980-07-30	0	7.9	22	7
1980-07-31	0	5.9	22	8
1980-08-01	NULO	NULO	NULO	NULO
1980-08-05	4	8.6	23	7
1980-08-06	9.3	2.7	22	12
1980-08-07	4	4.6	22	12
1980-08-08	NULO	NULO	NULO	NULO
1980-08-12	0	5.5	22	11
1980-08-13	0.8	4	23	9
1980-08-14	0.6	2.2	23	11
1980-08-15	NULO	NULO	NULO	NULO
1980-08-19	0	4.9	23	9
1980-08-20	0.1	2.9	21	9
1980-08-21	0	6.3	23	7
1980-08-22	NULO	NULO	NULO	NULO
1980-08-26	0.1	5	23	9
1980-08-27	0	7.1	23	6
1980-08-28	0	6.9	24	6
1980-08-29	NULO	NULO	NULO	NULO
1980-09-01	0.5	1.1	21	9
1980-09-02	0.1	4.7	21	10
1980-09-03	0	2.7	22	12
1980-09-04	3.1	5.2	22	11
1980-09-05	NULO	NULO	NULO	NULO
1980-09-07	0.1	NULO	NULO	NULO
1980-09-08	0	4.9	25	6
1980-09-09	0.9	7.3	25	6
1980-09-10	0	3.6	21	6
1980-09-11	0	5.1	21	10
1980-09-12	NULO	NULO	NULO	NULO
1980-09-14	NULO	NULO	NULO	NULO
1980-09-15	0	2.3	21	4
1980-09-16	0	6.6	23	8
1980-09-17	0	8.1	26	7
1980-09-18	0	6.1	24	7
1980-09-19	NULO	NULO	NULO	NULO
1980-09-21	0	NULO	NULO	NULO
1980-09-22	0.1	3.8	22	8
1980-09-23	0.7	2	20	9
1980-09-24	11.3	1.3	18	12
1980-09-25	5.3	2	19	12
1980-09-26	6.5	2.9	20	11
1980-09-27	10.3	3.3	22	13
1980-09-28	0	2.1	23	10
1980-09-29	0	2.2	22	9
1980-09-30	0	2.2	23	7
1980-10-01	0	5.8	22	5
1980-10-02	0	6.7	22	5
1980-10-03	0	NULO	NULO	NULO
1980-10-07	0	4.7	18	7
1980-10-08	0	5.2	19	1
1980-10-09	0	6.1	22	1
1980-10-10	NULO	NULO	NULO	NULO
1980-10-14	0	4.5	23	6
1980-10-15	0	4.7	21	6
