COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 11/09/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTEMBER DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN   : 13017 
 NOMBRE     : EL CHICO 
 ESTADO     : HIDALGO 
 MUNICIPIO  : MINERAL DEL CHICO 
 SITUACIÓN  : SUSPENDIDA 
 U. ADMNVA. : DIRECCIÓN LOCAL HIDALGO 
 CVE-OMM    :   
 LATITUD    : 20.21666667 ° 
 LONGITUD   : -98.73333333 ° 
 ALTITUD    : 2351 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1923-02-20	0.01	NULO	10.8	4.3
1923-02-21	1.5	NULO	12.7	4.4
1923-02-22	0	NULO	14.8	5.8
1923-02-23	0	NULO	17.5	6
1923-02-24	0	NULO	17.7	5.4
1923-02-25	0.01	NULO	17	8.8
1923-02-26	0	NULO	22.2	10.3
1923-02-27	0	NULO	23.8	8.4
1923-02-28	0	NULO	21.3	7.5
1923-03-01	0	NULO	15.1	6.8
1923-03-02	0	NULO	16.6	6.7
1923-03-03	0	NULO	21.5	10.1
1923-03-04	0	NULO	21.7	10
1923-03-05	0	NULO	21.3	9.5
1923-03-06	0	NULO	24.1	12.3
1923-03-07	0	NULO	23.6	5.7
1923-03-08	0	NULO	19.3	7.6
1923-03-09	0	NULO	19.1	6.6
1923-03-10	0	NULO	24.2	10.5
1923-03-11	0	NULO	24	10.2
1923-03-12	0.01	NULO	28.5	13
1923-03-13	3.5	NULO	25.2	8
1923-03-14	14	NULO	16.8	7.1
1923-03-15	0.01	NULO	19.8	9.2
1923-03-16	0.01	NULO	22	8.2
1923-03-17	0.01	NULO	15.7	3.2
1923-03-18	2	NULO	18.3	3.5
1923-03-19	0	NULO	21	6.7
1923-03-20	0	NULO	13.9	2
1923-03-21	0.01	NULO	19.5	10.7
1923-03-22	7.5	NULO	21.1	9.8
1923-03-23	3.6	NULO	21.7	7.5
1923-03-24	0	NULO	18.2	7.1
1923-03-25	2	NULO	18	7.3
1923-03-26	2.4	NULO	20.8	6
1923-03-27	1	NULO	18.7	5.8
1923-03-28	5.5	NULO	19.2	7.9
1923-03-29	0	NULO	14.9	7.3
1923-03-30	0	NULO	14.3	7.9
1923-03-31	0	NULO	12.6	4.4
1923-04-01	1	NULO	20	7
1923-04-02	1	NULO	20.5	11.3
1923-04-03	0	NULO	21.8	11.8
1923-04-04	0	NULO	23.8	11.4
1923-04-05	0	NULO	24.2	10.6
1923-04-06	0	NULO	23.6	10
1923-04-07	0	NULO	24.4	13.2
1923-04-08	0	NULO	19.6	9
1923-04-09	0	NULO	24.8	14.4
1923-04-10	0	NULO	23	16.4
1923-04-11	0	NULO	21.6	16.7
1923-04-12	0	NULO	19	18.7
1923-04-13	0.01	NULO	25.9	10.8
1923-04-14	1.5	NULO	24.5	8.3
1923-04-15	3.5	NULO	21	7.5
1923-04-16	0.01	NULO	20.8	6.8
1923-04-17	0	NULO	18.2	9.5
1923-04-18	0	NULO	20.8	9.2
1923-04-19	8	NULO	20.1	8.2
1923-04-20	0	NULO	21.8	10.4
1923-04-21	0	NULO	24.4	12.6
1923-04-22	2	NULO	24.8	12.4
1923-04-23	3	NULO	20.6	10.3
1923-04-24	4.5	NULO	22.8	13.2
1923-04-25	0	NULO	24.2	9.3
1923-04-26	0	NULO	23.8	12.3
1923-04-27	2	NULO	24.9	13
1923-04-28	0	NULO	26.2	12.4
1923-04-29	0	NULO	25.4	10.1
1923-04-30	0	NULO	27.8	12.5
1923-05-01	0	NULO	24	12.7
1923-05-02	8	NULO	28.6	12.4
1923-05-03	0	NULO	23.5	9.3
1923-05-04	0	NULO	21.2	10
1923-05-05	0	NULO	22.3	10.2
1923-05-06	0	NULO	24.9	14.5
1923-05-07	0	NULO	25.8	14.2
1923-05-08	3.5	NULO	26.2	14
1923-05-09	0	NULO	16.7	8.8
1923-05-10	0	NULO	17.4	8.7
1923-05-11	0	NULO	18.4	8.2
1923-05-12	1.1	NULO	23.8	13.7
1923-05-13	1.1	NULO	23.6	11
1923-05-14	0	NULO	25.6	12.2
1923-05-15	0	NULO	26.9	14.7
1923-05-16	0	NULO	26.5	9.7
1923-05-17	0	NULO	25.5	10.5
1923-05-18	0	NULO	26.6	12.5
1923-05-19	0	NULO	24.9	9.2
1923-05-20	0	NULO	24.2	9.5
1923-05-21	0	NULO	20.9	11.9
1923-05-22	0	NULO	23.4	11.3
1923-05-23	0	NULO	25.8	4.3
1923-05-24	0	NULO	25	10.8
1923-05-25	0	NULO	18.9	9.8
1923-05-26	0	NULO	21.2	10.3
1923-05-27	0	NULO	22.1	11.5
1923-05-28	0	NULO	26.5	12.1
1923-05-29	0	NULO	27.8	15.3
1923-05-30	0.01	NULO	26.7	14.9
1923-05-31	13	NULO	25.4	14
1923-06-01	0	NULO	26.9	11.5
1923-06-02	0	NULO	24.4	9.7
1923-06-03	0	NULO	23.2	9.6
1923-06-04	0	NULO	22	9.7
1923-06-05	0	NULO	24.8	12.3
1923-06-06	0	NULO	24.9	12.2
1923-06-07	4.5	NULO	23.2	9.2
1923-06-08	0	NULO	21.1	11.5
1923-06-09	0.01	NULO	19.5	11.9
1923-06-10	16	NULO	18.4	11.1
1923-06-11	37	NULO	22	10.2
1923-06-12	8.5	NULO	16.8	12.6
1923-06-13	17	NULO	18	11.8
1923-06-14	11.9	NULO	17.5	10.2
1923-06-15	2.8	NULO	19	9.5
1923-06-16	12.3	NULO	17.2	11.5
1923-06-17	22.2	NULO	18.6	9.9
1923-06-18	34.2	NULO	19.8	11.4
1923-06-19	20.8	NULO	17.8	12.1
1923-06-20	0.01	NULO	17.6	9.9
1923-06-21	47.6	NULO	19.6	8.2
1923-06-22	26.4	NULO	18.7	11.3
1923-06-23	4.5	NULO	16.8	11.5
1923-06-24	7.9	NULO	16.8	11.8
1923-06-25	0	NULO	19.3	8.5
1923-06-26	9	NULO	20.2	10.8
1923-06-27	15.4	NULO	23.1	11.4
1923-06-28	2.5	NULO	19.5	12.7
1923-06-29	1.2	NULO	20.3	11.3
1923-06-30	0	NULO	18.8	8.4
1923-07-01	0.01	NULO	18.7	10.3
1923-07-02	12	NULO	19.6	9.5
1923-07-03	1.5	NULO	14.9	9.2
1923-07-04	1.5	NULO	16.6	9.3
1923-07-05	6.4	NULO	16.9	9.3
1923-07-06	3.3	NULO	18.7	10.5
1923-07-07	3.7	NULO	18.5	10.8
1923-07-08	23.3	NULO	19	10.6
1923-07-09	16.3	NULO	19.4	10.7
1923-07-10	1.5	NULO	16.9	9.1
1923-07-11	0	NULO	20	8.4
1923-07-12	0	NULO	21.3	8.5
1923-07-13	0	NULO	18.5	8.1
1923-07-14	0	NULO	18.3	7.5
1923-07-15	16	NULO	15.9	8.4
1923-07-16	0	NULO	20.4	9.3
1923-07-17	25.6	NULO	18.8	8.7
1923-07-18	23.5	NULO	20	7.8
1923-07-19	1.3	NULO	20.2	8.7
